1.0000,-26.2245
1.0082,-26.1264
1.0330,-25.8327
1.0742,-25.3713
1.1319,-24.6957
1.2062,-23.8222
1.2969,-22.7490
1.4041,-21.4792
1.5278,-20.0263
1.6680,-18.5010
1.8247,-16.9011
1.9978,-15.4276
2.1875,-14.1666
2.3937,-13.1335
2.6163,-12.2857
2.8555,-11.5835
3.1111,-11.0217
3.3832,-10.5215
3.6719,-10.0952
3.9770,-9.7289
4.2986,-9.4118
4.6367,-9.1477
4.9913,-8.9038
5.3624,-8.6888
5.7500,-8.4982
6.1541,-8.3285
6.5747,-8.1768
7.0117,-8.0407
7.4653,-7.9237
7.9353,-7.8126
8.4219,-7.7122
8.9249,-7.6211
9.4444,-7.5384
9.9805,-7.4665
10.5330,-7.3976
11.1020,-7.3348
11.6875,-7.2774
12.2895,-7.2249
12.9080,-7.1769
13.5430,-7.1349
14.1944,-7.0944
14.8624,-7.0572
15.5469,-7.0230
16.2478,-6.9916
16.9653,-6.9627
17.6992,-6.9373
18.4497,-6.9127
19.2166,-6.8900
20.0000,-6.8690
