0.00000,4.01273
0.01562,4.07885
0.03125,4.13945
0.04688,4.20113
0.06250,4.25285
0.07812,4.30431
0.09375,4.35185
0.10938,4.39313
0.12500,4.43374
0.14062,4.47075
0.15625,4.50227
0.17188,4.53276
0.18750,4.55844
0.20312,4.58291
0.21875,4.60423
0.23438,4.62151
0.25000,4.63711
0.26562,4.64991
0.28125,4.65938
0.29688,4.66679
0.31250,4.67148
0.32812,4.67346
0.34375,4.67298
0.35938,4.66989
0.37500,4.66378
0.39062,4.65489
0.40625,4.64411
0.42188,4.63029
0.43750,4.61472
0.45312,4.59618
0.46875,4.57584
0.48438,4.55527
0.50000,4.53183
0.51562,4.50383
0.53125,4.47412
0.54688,4.44072
0.56250,4.40559
0.57812,4.37157
0.59375,4.32904
0.60938,4.28320
0.62500,4.23339
0.64062,4.18272
0.65625,4.13312
0.67188,4.06507
0.68750,4.00083
0.70312,3.93205
0.71875,3.85188
0.73438,3.76744
0.75000,3.67790
0.76562,3.57353
0.78125,3.46687
0.79688,3.34923
0.81250,3.21150
0.82812,3.06262
0.84375,2.89549
0.85938,2.72667
0.87500,2.53243
0.89062,2.30290
0.90625,2.06609
0.92188,1.77433
0.93750,1.46819
0.95312,1.09950
0.96875,0.66486
0.98438,0.18635
1.00000,-0.43567
